,x,y,power,speed,spot_diameter,laser_current,signal,ID1,ID2,C1,C2,delta,scan_number,in_control
103,-21.42313003540039,-80.3398208618164,4800.0,1500.0,100.0,4528.0,1326.0,1.0,0.0,0.0,20.0,0.015087018720805645,0.0,1.0
104,-21.437725067138672,-80.34131622314453,4800.0,1500.0,100.0,4527.0,1317.0,1.0,0.0,0.0,20.0,0.01467143651098013,0.0,1.0
105,-21.45306968688965,-80.34318542480469,4800.0,1500.0,100.0,4529.0,1298.0,1.0,0.0,0.0,20.0,0.015458048321306705,0.0,1.0
106,-21.46803855895996,-80.34506225585938,4800.0,1500.0,100.0,4528.0,1289.0,1.0,0.0,0.0,20.0,0.015086074359714985,0.0,1.0
107,-21.483009338378906,-80.3465576171875,4800.0,1500.0,100.0,4526.0,1326.0,1.0,0.0,0.0,20.0,0.015045275911688805,0.0,1.0
108,-21.497604370117188,-80.34805297851562,4800.0,1500.0,100.0,4526.0,1354.0,1.0,0.0,0.0,20.0,0.01467143651098013,0.0,1.0
109,-21.5122013092041,-80.34992980957031,4800.0,1500.0,100.0,4525.0,1362.0,1.0,0.0,0.0,20.0,0.014717102982103825,0.0,1.0
110,-21.526796340942383,-80.35142517089844,4800.0,1500.0,100.0,4522.0,1345.0,1.0,0.0,0.0,20.0,0.01467143651098013,0.0,1.0
111,-21.541393280029297,-80.3532943725586,4800.0,1500.0,100.0,4527.0,1336.0,1.0,0.0,0.0,20.0,0.0147161316126585,0.0,1.0
112,-21.555988311767578,-80.35441589355469,4800.0,1500.0,100.0,4526.0,1380.0,1.0,0.0,0.0,20.0,0.014638058841228485,0.0,1.0
113,-21.57058334350586,-80.35629272460938,4800.0,1500.0,100.0,4526.0,1269.0,1.0,0.0,0.0,20.0,0.01471521146595478,0.0,1.0
114,-21.585554122924805,-80.3577880859375,4800.0,1500.0,100.0,4531.0,1289.0,1.0,0.0,0.0,20.0,0.015045275911688805,0.0,1.0
115,-21.60015106201172,-80.35928344726562,4800.0,1500.0,100.0,4528.0,1259.0,1.0,0.0,0.0,20.0,0.014673333615064621,0.0,1.0
116,-21.61474609375,-80.36077880859375,4800.0,1500.0,100.0,4526.0,1317.0,1.0,0.0,0.0,20.0,0.01467143651098013,0.0,1.0
117,-21.629714965820312,-80.36227416992188,4800.0,1500.0,100.0,4528.0,1317.0,1.0,0.0,0.0,20.0,0.015043378807604313,0.0,1.0
118,-21.644685745239258,-80.3634033203125,4800.0,1500.0,100.0,4527.0,1421.0,1.0,0.0,0.0,20.0,0.015013300813734531,0.0,1.0
119,-21.659656524658203,-80.36489868164062,4800.0,1500.0,100.0,4525.0,1380.0,1.0,0.0,0.0,20.0,0.015045275911688805,0.0,1.0
120,-21.674999237060547,-80.36676788330078,4800.0,1500.0,100.0,4527.0,1388.0,1.0,0.0,0.0,20.0,0.015456154942512512,0.0,1.0
121,-21.689970016479492,-80.3682632446289,4800.0,1500.0,100.0,4527.0,1429.0,1.0,0.0,0.0,20.0,0.015045275911688805,0.0,1.0
122,-21.704940795898438,-80.36975860595703,4800.0,1500.0,100.0,4527.0,1445.0,1.0,0.0,0.0,20.0,0.015045275911688805,0.0,1.0
123,-21.71990966796875,-80.37088012695312,4800.0,1500.0,100.0,4532.0,1445.0,1.0,0.0,0.0,20.0,0.015010827220976353,0.0,1.0
124,-21.734880447387695,-80.37275695800781,4800.0,1500.0,100.0,4531.0,1421.0,1.0,0.0,0.0,20.0,0.015087965875864029,0.0,1.0
125,-21.74985122680664,-80.37425231933594,4800.0,1500.0,100.0,4529.0,1445.0,1.0,0.0,0.0,20.0,0.015045275911688805,0.0,1.0
126,-21.764820098876953,-80.3761215209961,4800.0,1500.0,100.0,4529.0,1354.0,1.0,0.0,0.0,20.0,0.015085126273334026,0.0,1.0
127,-21.779417037963867,-80.37762451171875,4800.0,1500.0,100.0,4527.0,1362.0,1.0,0.0,0.0,20.0,0.014674113132059574,0.0,1.0
128,-21.79438591003418,-80.37911987304688,4800.0,1500.0,100.0,4523.0,1397.0,1.0,0.0,0.0,20.0,0.015043378807604313,0.0,1.0
129,-21.809356689453125,-80.380615234375,4800.0,1500.0,100.0,4525.0,1308.0,1.0,0.0,0.0,20.0,0.015045275911688805,0.0,1.0
