mean,max,min,stddev,file,scan_number,subsegment_index,mean_laser_current,bulk
1550.0733333333333,1763.0,1137.0,111.68330801372642,layer1.csv,89,0,4498.453333333333,1.0
1585.0469798657718,1792.0,1397.0,85.75549256054452,layer1.csv,89,1,4499.3288590604025,1.0
1517.456375838926,1733.0,1248.0,94.76176296953135,layer1.csv,90,0,4496.543624161074,1.0
1580.0268456375838,1828.0,1238.0,120.7586169787223,layer1.csv,90,1,4499.395973154363,1.0
1550.2013422818793,1753.0,1046.0,131.72607228261097,layer1.csv,91,0,4498.154362416108,1.0
1551.3758389261745,1758.0,1354.0,80.73392179035964,layer1.csv,91,1,4499.4496644295305,1.0
1580.744966442953,1763.0,1195.0,94.22742403942844,layer1.csv,92,0,4497.3691275167785,1.0
1501.2432432432433,1680.0,1345.0,77.99806144694479,layer1.csv,92,1,4498.972972972973,1.0
1620.5945945945946,1796.0,1279.0,88.36937510963897,layer1.csv,93,0,4498.0675675675675,1.0
1559.8716216216217,1801.0,1326.0,97.16211587977698,layer1.csv,93,1,4499.777027027027,1.0
1610.7567567567567,1880.0,1298.0,96.83321001833176,layer1.csv,94,0,4497.918918918919,1.0
1561.6891891891892,1806.0,1397.0,91.32299755880975,layer1.csv,94,1,4498.905405405405,1.0
1669.3986486486488,1888.0,1228.0,100.59980521345288,layer1.csv,95,0,4497.358108108108,1.0
1503.3401360544217,1717.0,1298.0,81.9850240678751,layer1.csv,95,1,4498.333333333333,1.0
1494.5986394557824,1828.0,1137.0,124.08372529265336,layer1.csv,96,0,4497.469387755102,1.0
1551.2176870748299,1728.0,1354.0,70.6993747633548,layer1.csv,96,1,4497.972789115646,1.0
1578.4489795918366,1763.0,1248.0,86.38067808588802,layer1.csv,97,0,4496.0,1.0
1492.265306122449,1753.0,1195.0,152.33209007652707,layer1.csv,97,1,4498.040816326531,1.0
1212.5864197530864,1460.0,892.0,143.6940184095636,layer1.csv,98,0,4498.444444444444,1.0
1292.136645962733,1546.0,909.0,110.73467236274551,layer1.csv,98,1,4498.031055900621,1.0
1156.2,1279.0,942.0,59.1653192334834,layer1.csv,99,0,4496.65,1.0
1184.9473684210527,1308.0,1099.0,68.15653321135532,layer2.csv,0,0,4505.368421052632,1.0
1425.2826086956522,1597.0,1018.0,144.91896731914315,layer2.csv,1,0,4507.826086956522,1.0
1461.958904109589,1690.0,1206.0,107.79399916662,layer2.csv,2,0,4503.630136986301,1.0
1487.38,1712.0,1032.0,114.52657158930411,layer2.csv,3,0,4500.45,1.0
1472.5396825396826,1674.0,1172.0,83.99004578148181,layer2.csv,4,0,4508.976190476191,1.0
1491.0915032679738,1773.0,942.0,117.02038029732141,layer2.csv,5,0,4512.091503267974,1.0
1534.388888888889,1768.0,973.0,108.31083812029611,layer2.csv,6,0,4512.8388888888885,1.0
1598.4563106796118,1810.0,1206.0,111.07993943828117,layer2.csv,7,0,4518.995145631068,1.0
1482.8154506437768,1810.0,926.0,124.52889876743629,layer2.csv,8,0,4523.154506437768,1.0
1619.7153846153847,1796.0,1298.0,88.14038056640403,layer2.csv,9,0,4528.2307692307695,1.0
1524.2076923076922,1743.0,1172.0,104.29939863783021,layer2.csv,9,1,4524.907692307693,1.0
1520.3636363636363,1738.0,1112.0,133.07632519736785,layer2.csv,10,0,4517.853146853146,1.0
1469.7062937062938,1680.0,1228.0,88.45296898706692,layer2.csv,10,1,4515.433566433567,1.0
1549.5859872611466,1846.0,973.0,140.2814752122303,layer2.csv,11,0,4514.923566878981,1.0
1539.576923076923,1792.0,1345.0,70.45675510020664,layer2.csv,11,1,4513.807692307692,1.0
1557.7941176470588,1738.0,1046.0,128.39282081170333,layer2.csv,12,0,4516.111764705883,1.0
1524.603550295858,1696.0,1345.0,66.77314938296426,layer2.csv,12,1,4517.526627218935,1.0
1607.48087431694,1854.0,1279.0,110.54889586684095,layer2.csv,13,0,4517.459016393443,1.0
1538.2032967032967,1743.0,1354.0,80.81594466569496,layer2.csv,13,1,4516.2692307692305,1.0
1513.5765306122448,1668.0,1149.0,99.4126591341697,layer2.csv,14,0,4514.1377551020405,1.0
1505.5255102040817,1696.0,1269.0,87.34014179996304,layer2.csv,14,1,4513.913265306122,1.0
1570.866028708134,1728.0,1172.0,79.4495491209403,layer2.csv,15,0,4512.794258373206,1.0
1492.2727272727273,1685.0,1326.0,78.14816790015298,layer2.csv,15,1,4513.339712918661,1.0
1539.3139013452915,1758.0,1289.0,89.5999085848406,layer2.csv,16,0,4512.757847533632,1.0
1480.936936936937,1674.0,1289.0,74.3164986325111,layer2.csv,16,1,4513.7027027027025,1.0
1515.7542372881355,1722.0,1060.0,110.53156895784424,layer2.csv,17,0,4514.186440677966,1.0
1500.292372881356,1743.0,1238.0,106.02699580829473,layer2.csv,17,1,4516.411016949152,1.0
1516.313253012048,1850.0,1161.0,119.94502700434283,layer2.csv,18,0,4518.309236947791,1.0
1533.7349397590363,1796.0,1345.0,85.39340818083878,layer2.csv,18,1,4519.8755020080325,1.0
1594.2914285714285,1850.0,1149.0,112.53566132292357,layer2.csv,19,0,4518.222857142857,1.0
1564.36,1758.0,1371.0,68.67881020685034,layer2.csv,19,1,4518.308571428572,1.0
1531.9485714285715,1773.0,1317.0,94.4772848630931,layer2.csv,19,2,4517.605714285714,1.0
1482.0862944162436,1722.0,1073.0,100.10348789784666,layer2.csv,20,0,4516.8730964467,1.0
1510.1989795918366,1748.0,1317.0,81.56565027682436,layer2.csv,20,1,4516.734693877551,1.0
1605.3902439024391,1782.0,1124.0,88.32580432521749,layer2.csv,21,0,4516.141463414634,1.0
1497.1658536585367,1733.0,1248.0,76.30242655015631,layer2.csv,21,1,4516.268292682927,1.0
1502.733644859813,1701.0,1086.0,94.81649314700637,layer2.csv,22,0,4515.079439252337,1.0
1480.6822429906542,1680.0,1269.0,78.4743065435583,layer2.csv,22,1,4514.602803738318,1.0
1603.085201793722,1837.0,973.0,121.43490720070028,layer2.csv,23,0,4513.349775784754,1.0
